heading_text,label,page,font_size,font_name,is_bold,alignment,indentation,is_numbered,has_colon,line_length
Indoor Play Area,H4,2,9,Helvetica,FALSE,left,54,FALSE,FALSE,16
Trampoline Access,H4,2,9,Helvetica,FALSE,left,54,FALSE,FALSE,17
Climbing Wall,H4,2,9,Helvetica,FALSE,left,54,FALSE,FALSE,13
Socks Required,H4,2,9,Helvetica,FALSE,left,54,FALSE,TRUE,14
Allergies: Inform Staff,H4,2,9,Helvetica,FALSE,left,54,FALSE,TRUE,21
Cake Serving Time,H4,3,9,Helvetica,FALSE,left,54,FALSE,FALSE,16
Private Room Use,H4,3,9,Helvetica,FALSE,left,54,FALSE,FALSE,16
Ball Pit Access,H4,3,9,Helvetica,FALSE,left,54,FALSE,FALSE,14
Party Favor Bags,H4,3,9,Helvetica,FALSE,left,54,FALSE,FALSE,17
Music Policy,H4,3,9,Helvetica,FALSE,left,54,FALSE,FALSE,12
No Outside Food Allowed,H4,3,9,Helvetica,FALSE,left,54,FALSE,FALSE,22
Clean Up Instructions,H4,3,9,Helvetica,FALSE,left,54,FALSE,FALSE,20
Photo Booth Rules,H4,4,9,Helvetica,FALSE,left,54,FALSE,FALSE,16
Water Fountain Location,H4,4,9,Helvetica,FALSE,left,54,FALSE,FALSE,21
Candy Not Permitted,H4,4,9,Helvetica,FALSE,left,54,FALSE,FALSE,18
Party End Notice,H4,4,9,Helvetica,FALSE,left,54,FALSE,FALSE,15
Executive Summary,H1,1,22,Arial Black,TRUE,center,0,FALSE,FALSE,18
Introduction,H1,1,20,TimesNewRoman-Bold,TRUE,center,0,FALSE,FALSE,12
Methodology,H1,2,19,Arial,TRUE,center,0,FALSE,FALSE,11
Results and Findings,H1,3,20,Calibri,TRUE,center,0,FALSE,FALSE,21
Conclusions,H1,10,22,TimesNewRoman,TRUE,center,0,FALSE,FALSE,11
Literature Review,H1,2,21,Georgia-Bold,TRUE,center,0,FALSE,FALSE,17
1. Overview,H1,1,23,Helvetica,TRUE,left,0,TRUE,FALSE,9
2. Analysis,H1,5,21,Arial,TRUE,left,0,TRUE,FALSE,10
3. Case Studies,H1,14,19,TimesNewRoman-Bold,TRUE,left,0,TRUE,FALSE,13
Financial Statements,H1,15,20,Calibri,TRUE,center,0,FALSE,FALSE,20
Section I: Background,H1,1,22,Helvetica-Bold,TRUE,left,0,TRUE,TRUE,20
Section II: Data Analysis,H1,3,21,Cambria,TRUE,left,0,TRUE,TRUE,24
1.0 General Information,H1,1,22,Arial-Black,TRUE,left,0,TRUE,FALSE,22
2.0 Experimental Design,H1,6,19,Georgia,TRUE,left,0,TRUE,FALSE,22
Policy Overview,H1,3,20,TimesNewRoman,TRUE,center,0,FALSE,FALSE,15
Summary & Recommendations,H1,20,20,Verdana-Bold,TRUE,center,0,FALSE,FALSE,25
Acknowledgements,H1,25,21,Arial,TRUE,center,0,FALSE,FALSE,15
References,H1,27,21,TimesNewRoman-Bold,TRUE,center,0,FALSE,FALSE,10
Appendix,H1,28,19,Georgia-Bold,TRUE,center,0,FALSE,FALSE,8
Table of Contents,H1,1,22,Calibri,TRUE,center,0,FALSE,FALSE,18
Data Sources,H2,2,16,Arial,TRUE,left,10,FALSE,FALSE,12
Previous Research,H2,2,16,TimesNewRoman,TRUE,left,10,FALSE,FALSE,16
Evaluation Metrics,H2,3,16,Calibri,TRUE,left,10,FALSE,FALSE,18
Data Collection Techniques,H2,4,15,Helvetica,TRUE,left,10,FALSE,FALSE,24
Statistical Analysis,H2,5,17,Arial,TRUE,left,10,FALSE,FALSE,20
2.1 Market Trends,H2,6,18,Arial-Black,TRUE,left,10,TRUE,FALSE,17
2.2.1 Regression Results,H2,8,16,TimesNewRoman,TRUE,left,15,TRUE,FALSE,21
Research Questions,H2,3,16,Georgia,TRUE,left,10,FALSE,FALSE,17
Limitations,H2,21,16,Ariel,TRUE,left,10,FALSE,FALSE,12
Discussion,H2,18,16,Calibri,TRUE,left,10,FALSE,FALSE,10
Recommendations,H2,23,17,Calibri,TRUE,left,10,FALSE,FALSE,15
Future Work,H2,24,15,TimesNewRoman-Bold,TRUE,left,10,FALSE,FALSE,11
1.1 Scope of Study,H2,2,18,TimesNewRoman-Bold,TRUE,left,10,TRUE,FALSE,17
1.2 Stakeholder Feedback,H2,4,15,Arial,TRUE,left,10,TRUE,FALSE,22
Participant Demographics,H2,5,16,Helvetica,TRUE,left,10,FALSE,FALSE,22
Theoretical Framework,H2,3,17,Cambria-Bold,TRUE,left,10,FALSE,FALSE,21
Comparative Analysis,H2,9,16,Arial-Black,TRUE,left,10,FALSE,FALSE,20
3.1 Implementation Details,H2,19,17,Arial,TRUE,left,10,TRUE,FALSE,24
Variable Selection Criteria,H3,4,13,Arial,TRUE,left,30,FALSE,FALSE,25
Data Cleaning Procedure,H3,5,12,TimesNewRoman,TRUE,left,30,FALSE,FALSE,22
Missing Value Imputation,H3,5,13,Calibri,FALSE,left,40,FALSE,FALSE,25
Feature Engineering Steps,H3,6,13,Arial,FALSE,left,40,FALSE,FALSE,25
Training/Testing Split,H3,7,13,Helvetica-Bold,TRUE,left,35,FALSE,TRUE,21
2.1.1 Descriptive Statistics,H3,8,13,TimesNewRoman,TRUE,left,35,TRUE,FALSE,24
2.1.2 Outlier Detection,H3,8,13,TimesNewRoman,TRUE,left,35,TRUE,FALSE,19
Initial Results: Overview,H3,9,13,Calibri,TRUE,left,35,FALSE,TRUE,21
Experiment Configuration,H3,9,12,Georgia,FALSE,left,38,FALSE,FALSE,23
Baseline Model Comparison,H3,10,12,Arial,TRUE,left,36,FALSE,FALSE,24
Key Parameter Settings,H3,10,13,Arial-Narrow,FALSE,left,35,FALSE,FALSE,21
Cross-Validation Results,H3,11,12,Arial,TRUE,left,40,FALSE,FALSE,24
ROC Curve Analysis,H3,11,13,Calibri,FALSE,left,32,FALSE,FALSE,17
Feature Importance Ranking,H3,12,12,TimesNewRoman,TRUE,left,36,FALSE,FALSE,25
Model Performance: Precision,H3,12,13,TimesNewRoman,TRUE,left,40,FALSE,TRUE,27
Model Performance: Recall,H3,12,13,TimesNewRoman,TRUE,left,40,FALSE,TRUE,25
Sensitivity Analysis,H3,12,13,Calibri,FALSE,left,38,FALSE,FALSE,20
Interpretation of Coefficients,H3,13,12,Georgia-Bold,TRUE,left,35,FALSE,FALSE,28
Error Analysis: Common Issues,H3,14,12,Helvetica,TRUE,left,35,FALSE,TRUE,26
User Feedback Analysis,H3,15,13,Arial,TRUE,left,40,FALSE,FALSE,21
Detailed System Architecture,H3,16,12,Calibri,TRUE,left,35,FALSE,FALSE,28
Load Balancing Methods,H3,17,13,Arial-Narrow,TRUE,left,38,FALSE,FALSE,20
Cache Invalidation Approaches,H3,17,12,Verdana-Bold,TRUE,left,35,FALSE,FALSE,26
Database Indexing Strategies,H3,18,13,TimesNewRoman,TRUE,left,39,FALSE,FALSE,25
API Request Flow,H3,19,13,Arial,FALSE,left,40,FALSE,FALSE,16
Logging Format Specification,H3,19,12,Arial-Black,TRUE,left,37,FALSE,FALSE,28
Security Considerations,H3,20,13,Georgia,TRUE,left,35,FALSE,FALSE,23
Input Validation Checks,H3,20,12,Calibri-Bold,TRUE,left,34,FALSE,FALSE,22
3.2.1 User Privilege Levels,H3,21,13,Arial-Narrow,TRUE,left,42,TRUE,FALSE,23
3.2.2 Access Token Generation,H3,21,13,TimesNewRoman,TRUE,left,42,TRUE,FALSE,26
Interface Customization,H3,22,12,Arial,TRUE,left,38,FALSE,FALSE,22
Design Guidelines,H3,22,13,Calibri-Bold,TRUE,left,36,FALSE,FALSE,17
UI Component Library,H3,22,13,Arial,FALSE,left,40,FALSE,FALSE,20
Localization Support,H3,23,12,Helvetica,TRUE,left,35,FALSE,FALSE,20
End-to-End Test Cases,H3,24,13,TimesNewRoman,TRUE,left,40,FALSE,FALSE,20
4.1.1 Integration Tests,H3,24,13,Calibri-Bold,TRUE,left,43,TRUE,FALSE,20
4.2.2 Regression Test Results,H3,25,13,Arial,TRUE,left,44,TRUE,FALSE,25
Release Notes: January 2024,H3,25,12,Georgia,TRUE,left,36,FALSE,TRUE,25
Frequently Asked Questions,H3,26,12,Arial-Black,TRUE,left,35,FALSE,FALSE,26
Glossary of Terms,H3,27,12,Calibri-Bold,TRUE,left,35,FALSE,FALSE,16
Supporting Documentation,H3,28,13,Arial-Narrow,TRUE,left,40,FALSE,FALSE,25
Reference Links,H3,29,12,Calibri,TRUE,left,35,FALSE,FALSE,16
System Requirements,H1,2,21,Arial Black,TRUE,center,0,FALSE,FALSE,19
Project Overview,H1,1,22,Cambria-Bold,TRUE,center,0,FALSE,FALSE,16
Objectives,H1,1,21,Georgia,TRUE,center,0,FALSE,FALSE,10
Scope Statement,H1,2,20,Helvetica,TRUE,center,0,FALSE,FALSE,15
User Manual,H1,3,22,TimesNewRoman-Bold,TRUE,center,0,FALSE,FALSE,10
Security Policy,H1,15,20,Arial-Bold,TRUE,center,0,FALSE,FALSE,14
Change Log,H1,18,21,Verdana,TRUE,center,0,FALSE,FALSE,10
Meeting Minutes,H1,6,22,Calibri,TRUE,center,0,FALSE,FALSE,15
Executive Review,H1,28,21,Calibri-Bold,TRUE,center,0,FALSE,FALSE,15
Customer Feedback,H1,30,22,Georgia-Bold,TRUE,center,0,FALSE,FALSE,16
Release Management,H1,10,21,Tahoma,TRUE,center,0,FALSE,FALSE,19
License Agreement,H1,31,21,Arial,TRUE,center,0,FALSE,FALSE,17
Change Management,H1,24,20,Georgia-Bold,TRUE,center,0,FALSE,FALSE,16
Business Model Canvas,H1,7,21,Cambria-Bold,TRUE,center,0,FALSE,FALSE,21
API Documentation,H1,11,20,Arial-Black,TRUE,center,0,FALSE,FALSE,17
Deployment Guide,H1,13,22,Verdana-Bold,TRUE,center,0,FALSE,FALSE,15
Performance Summary,H1,9,21,TimesNewRoman-Bold,TRUE,center,0,FALSE,FALSE,19
Migration Plan,H1,17,20,Arial,TRUE,center,0,FALSE,FALSE,14
Key Deliverables,H1,5,21,Georgia,TRUE,center,0,FALSE,FALSE,15
Contact Information,H1,35,20,Calibri,TRUE,center,0,FALSE,FALSE,19
Analysis Techniques,H2,6,16,Arial,TRUE,left,10,FALSE,FALSE,18
User Personas,H2,7,17,Calibri,TRUE,left,10,FALSE,FALSE,13
Key Definitions,H2,8,17,TimesNewRoman,TRUE,left,10,FALSE,FALSE,15
Validation Process,H2,9,16,Verdana,TRUE,left,10,FALSE,FALSE,17
Reporting Standards,H2,10,16,Georgia,TRUE,left,10,FALSE,FALSE,19
Project Phases,H2,4,15,Cambria-Bold,TRUE,left,10,FALSE,FALSE,13
Risk Assessment,H2,12,16,Arial-Bold,TRUE,left,10,FALSE,FALSE,15
Deployment Checklist,H2,14,16,Helvetica,TRUE,left,10,FALSE,FALSE,19
Testing Timeline,H2,16,15,Arial,TRUE,left,10,FALSE,FALSE,15
Maintenance Strategy,H2,18,17,Georgia-Bold,TRUE,left,10,FALSE,FALSE,18
Communication Plan,H2,20,17,TimesNewRoman,TRUE,left,10,FALSE,FALSE,18
Compliance Guidelines,H2,13,16,Arial,TRUE,left,10,FALSE,FALSE,20
Environment Setup,H2,9,16,Cambria,TRUE,left,10,FALSE,FALSE,16
Audit Trail,H2,29,15,Verdana,TRUE,left,10,FALSE,FALSE,10
System Integration,H2,27,16,Georgia,TRUE,left,10,FALSE,FALSE,18
Stakeholder Engagement,H2,19,17,Arial,TRUE,left,10,FALSE,FALSE,22
Incident Response,H2,33,16,Calibri-Bold,TRUE,left,10,FALSE,FALSE,16
Performance Metrics,H2,21,16,Arial-Bold,TRUE,left,10,FALSE,FALSE,17
Milestone Tracking,H2,24,17,TimesNewRoman,TRUE,left,10,FALSE,FALSE,18
Notifications,H3,10,12,TimesNewRoman,TRUE,left,35,FALSE,FALSE,12
Access Control Lists,H3,11,13,Arial,TRUE,left,35,FALSE,FALSE,19
CSV Data Import Methods,H3,5,13,Calibri,TRUE,left,38,FALSE,FALSE,21
Error Logging Procedures,H3,8,13,Arial-Bold,TRUE,left,39,FALSE,FALSE,21
UI Button Configuration,H3,12,13,Arial,TRUE,left,38,FALSE,FALSE,22
API Rate Limiting,H3,19,12,Georgia-Bold,TRUE,left,35,FALSE,FALSE,16
Modal Window Layout,H3,21,13,Helvetica,TRUE,left,35,FALSE,FALSE,17
Upload File Formats,H3,23,12,Calibri-Bold,TRUE,left,35,FALSE,FALSE,18
Backup Frequency Settings,H3,18,13,Verdana,TRUE,left,34,FALSE,FALSE,23
OAuth Verification,H3,13,13,Arial,TRUE,left,33,FALSE,FALSE,17
Scheduled Task Overview,H3,15,13,Georgia,TRUE,left,33,FALSE,FALSE,22
In-Line Editing Options,H3,17,12,Calibri,TRUE,left,35,FALSE,FALSE,21
Table Sort Functionality,H3,14,13,TimesNewRoman,TRUE,left,34,FALSE,FALSE,22
Link Redirection Rules,H3,6,13,Arial,TRUE,left,36,FALSE,FALSE,20
Cookie Consent Implementation,H3,20,12,Verdana,TRUE,left,35,FALSE,FALSE,26
Route Optimization Methods,H3,16,13,Arial-Bold,TRUE,left,39,FALSE,FALSE,25
Cluster Analysis Results,H3,26,13,Georgia,TRUE,left,34,FALSE,FALSE,21
Index Creation Process,H3,19,13,Calibri,TRUE,left,35,FALSE,FALSE,20
Dynamic Chart Rendering,H3,19,13,Arial,TRUE,left,35,FALSE,FALSE,23
Alert Message Customization,H3,7,12,TimesNewRoman-Fallback,TRUE,left,36,FALSE,FALSE,25
Language Switch Handling,H3,8,13,Arial,TRUE,left,37,FALSE,FALSE,22
File Preview Options,H3,10,12,Arial,TRUE,left,34,FALSE,FALSE,18
WebSocket Event List,H3,12,13,Georgia-Bold,TRUE,left,35,FALSE,FALSE,19
Minification Techniques,H3,15,12,Calibri,TRUE,left,38,FALSE,FALSE,21
Session Expiry Logic,H3,17,13,TimesNewRoman-Bold,TRUE,left,36,FALSE,FALSE,19
Query Optimization,H3,21,13,Arial,TRUE,left,38,FALSE,FALSE,18
Snapshot Aggregation,H3,23,13,Calibri,TRUE,left,40,FALSE,FALSE,19
DNS Resolution Modes,H3,20,12,Verdana,TRUE,left,35,FALSE,FALSE,18
Cascading Settings,H3,39,12,Calibri-Bold,TRUE,left,33,FALSE,FALSE,17
Column Visibility Control,H3,11,13,Arial,TRUE,left,35,FALSE,FALSE,24
Responsive Table Design,H3,12,12,Georgia,TRUE,left,32,FALSE,FALSE,22
Server-side Exception Mapping,H3,22,13,Arial-Bold,TRUE,left,39,FALSE,FALSE,28
Bulk Operation Validation,H3,14,12,Georgia,TRUE,left,38,FALSE,FALSE,24
Audit Log Configuration,H3,28,13,Calibri-Bold,TRUE,left,40,FALSE,FALSE,21
Label Rendering Preferences,H3,25,13,Arial,TRUE,left,38,FALSE,FALSE,27
